Date,Price,Open,High,Low,Vol.,Change %
"Mar 12, 2020","1,419.43","1,431.41","1,432.70","1,419.43",232.86M,-1.69%
"Mar 11, 2020","1,443.83","1,431.35","1,454.00","1,428.59",195.73M,0.93%
"Mar 10, 2020","1,430.47","1,415.86","1,446.73","1,414.95",220.29M,0.44%
"Mar 09, 2020","1,424.16","1,459.81","1,459.81","1,422.65",255.46M,-3.97%
"Mar 06, 2020","1,483.10","1,486.84","1,486.84","1,479.74",169.36M,-0.53%
"Mar 05, 2020","1,491.03","1,492.36","1,497.31","1,486.35",140.56M,0.07%
"Mar 04, 2020","1,489.95","1,478.33","1,491.07","1,474.95",185.11M,0.76%
"Mar 03, 2020","1,478.64","1,476.30","1,481.36","1,466.90",179.12M,0.80%
"Mar 02, 2020","1,466.94","1,471.34","1,478.68","1,456.08",231.46M,-1.06%
"Feb 28, 2020","1,482.64","1,484.90","1,494.09","1,473.77",312.20M,-1.52%
"Feb 27, 2020","1,505.59","1,496.73","1,508.27","1,494.94",133.61M,0.70%
"Feb 26, 2020","1,495.19","1,489.33","1,508.43","1,485.24",199.95M,-0.38%
"Feb 25, 2020","1,500.88","1,481.46","1,503.30","1,481.46",174.20M,0.73%
"Feb 24, 2020","1,490.06","1,501.47","1,510.42","1,486.71",255.64M,-2.69%
"Feb 21, 2020","1,531.20","1,529.01","1,533.91","1,527.57",106.74M,-0.25%
"Feb 20, 2020","1,534.98","1,537.10","1,540.18","1,531.15",125.66M,0.05%
"Feb 19, 2020","1,534.16","1,539.22","1,539.90","1,530.83",100.67M,-0.19%
"Feb 18, 2020","1,537.08","1,536.51","1,537.87","1,532.89",100.88M,-0.00%
"Feb 17, 2020","1,537.12","1,542.97","1,545.92","1,537.12",75.68M,-0.48%
"Feb 14, 2020","1,544.46","1,538.72","1,544.46","1,534.97",95.27M,0.34%
"Feb 13, 2020","1,539.16","1,544.75","1,545.92","1,536.76",98.00M,-0.24%
"Feb 12, 2020","1,542.94","1,551.02","1,555.66","1,538.66",182.74M,-0.55%
